Isolate,mdf(A) ,mph(A,fosA,fosA7,sul1,sul2,tet(A),tet(B),aac(3)-Via,aadA1,aadA5,aph(3')-Ia,aph(3'')-Ib,aph(6)-Id,blaTEM-1B,catA1,dfrA8,dfrA17,"Nalidixic acid,Ciprofloxacin","Erythromycin,Azithromycin,Telithromycin"
27970_1#28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27970_1#310,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27970_1#342,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27970_1#362,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27970_1#374,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27970_1#90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27970_2#101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27970_2#189,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27970_2#217,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27970_2#9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
