Isolate,Order,Genus,Spieces,aaiC,aap,aar,aatA,agg,ailA,air,astA,capU,cba,cdtB,celb,cif,cma,cnf1,eae,efa1,ehxA,eilA,esp,etpD,f17,gad,iha,IpfA,ireA,iroN,iss,katP,ltcA,mch,mcmA,nle,pic,sat,senB,sepA,sfaS,stx,tccP,tir,vat
24742_1#50,Artiodactyla,Sus,Sus scrofa domesticus,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,4,0,0,2,1,1,0,0,1,1,0,0,0,4,0,0,0,1,0,0,0,1,0
24742_1#51,Artiodactyla,Pecari,Tayassu tajacu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#59,Passeriformes,Basileuterus,Basileuterus belli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#60,Carnivora,Canis,Canis latrans,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,3,0,0,2,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0
24742_1#61,Carnivora,Felis,Felis catus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#62,Carnivora,Panthera,Panthera onca,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,2,0,1,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,1,0
24742_1#63,Carnivora,Bassariscus,Bassariscus astutus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0
24742_1#64,Didelphimorphia,Didelphis,Didelphis virginiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#65,Carnivora,Felis,Felis catus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#66,Lagomorpha,Oryctolagus,Oryctolagus cuniculus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24742_1#67,Carnivora,Canis,Canis latrans,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
