Sample ID,Number of contigs,N50 value,Number of total reads,% of reads Unclassified,% of reads Escherichia.coli,Continet of isolation,Country of isolation,Host spieces,DataBase,Date of isolation,Ampicillin,Cefotaxime,Ceftazidime,Cefuroxime,Cephalothin,Ciprofloxacin,Gentamycin,Tobramycin,Trimethoprim
25964_1#167,22,3,1237335,29.35,1.15,North America,Mexico,Mus musculus,Souza,1999,R,S,R,R,R,S,S,S,S
25964_1#176,70,8,1040535,0.87,60.93,NF,NF,Aratinga ocularis,Souza,1999,R,S,S,S,S,S,S,S,R
25964_1#183,47,7,1036544,2.53,50.44,North America,Mexico,Nyctomys sp. ,Souza,1999,R,S,S,S,S,S,S,S,S
25964_1#184,45,5,1031166,0.89,88.37,NF,NF,Artibeus sp. ,Souza,1999,R,S,S,S,S,S,S,S,S
25964_1#188,161,21,1010153,2.56,32.01,North America,Mexico,Equus ferus,Souza,1999,S,S,S,S,S,S,S,S,S
25964_1#191,35,5,1293915,0.77,48.34,North America,Mexico,Odocoeileus virginianus ,Souza,1999,R,S,S,S,S,S,S,S,S
25964_1#192,91,10,1177217,4.16,50.2,North America,Mexico,Romerolagus diazi,Souza,1999,R,S,S,S,S,S,S,S,S
25964_1#193,20,3,1149283,1.69,88.64,North America,Mexico,Tursiops truncatus ,Souza,1999,R,S,S,S,S,S,S,S,S
25964_1#199,716,47,1123897,1.32,88.91,North America,Mexico,Ovis aries ,Souza,1999,R,S,S,S,S,S,S,S,S
25964_1#200,118,18,1163474,2.13,57.05,North America,Mexico,Sylvilagus sp.,Souza,1999,S,S,S,S,S,S,S,S,S
25964_1#207,57,7,1282251,1.27,50.48,NF,NF,Panthera onca,Souza,1999,R,S,S,S,S,S,S,S,S
25964_1#215,167,3,1219090,43.41,5.73,Africa,Africa,Papio cynocephalus,Souza,1999,S,S,S,S,S,S,S,S,S
25964_1#223,24,4,1190440,26.47,1.32,North America,Mexico,Passer domesticus,Souza,1999,R,S,R,S,R,S,S,S,S
